,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,bathrooms,bedrooms
136,183918,Pankow,Pankow Süd,52.55762500687087,13.412937659067975,Private room,35,15,1,0,1.0,1.0
137,183988,Charlottenburg-Wilm.,Neue Kantstraße,52.50102762775477,13.302697494915234,Entire home/apt,100,2,1,272,1.0,1.0
138,183996,Pankow,Helmholtzplatz,52.54362828315854,13.418535807902385,Entire home/apt,375,2,3,224,2.5,4.0
139,185960,Neukölln,Reuterstraße,52.48350793185751,13.435552522915618,Private room,29,7,1,258,1.5,1.0
140,186851,Tempelhof - Schöneberg,Schöneberg-Nord,52.492831856836474,13.348729563560164,Entire home/apt,32,62,1,205,1.0,1.0
141,186908,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.38057986494855,13.651156835202949,Entire home/apt,45,2,4,86,1.0,1.0
142,186999,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37886768122416,13.651231409727053,Entire home/apt,120,3,4,86,1.5,2.0
143,187206,Mitte,Osloer Straße,52.5633446672036,13.388021573580913,Private room,25,2,1,322,1.0,1.0
144,187326,Steglitz - Zehlendorf,Drakestr.,52.44409410904785,13.294342076502476,Entire home/apt,59,3,1,130,1.0,1.0
145,188565,Reinickendorf,West 1,52.575025646606406,13.263064943953482,Entire home/apt,86,1,4,87,1.0,1.0
146,188922,Pankow,Prenzlauer Berg Südwest,52.53049238521453,13.414710578048757,Entire home/apt,45,28,1,0,1.0,1.0
147,189288,Pankow,Prenzlauer Berg Ost,52.538143284261295,13.455527819831655,Entire home/apt,100,3,2,325,1.0,2.0
149,190448,Neukölln,Buckow Nord,52.441485683381856,13.46192775672965,Entire home/apt,50,2,2,242,1.0,0.0
150,191023,Mitte,Alexanderplatz,52.51178126319939,13.407514094169713,Private room,49,1,1,0,1.0,1.0
151,192050,Pankow,Pankow Süd,52.57240900194288,13.421871279754898,Entire home/apt,55,120,2,105,1.0,2.0
152,192052,Mitte,Brunnenstr. Süd,52.52940390732017,13.39327420282074,Entire home/apt,79,2,3,6,1.0,0.0
153,192103,Mitte,Brunnenstr. Süd,52.52957871113232,13.391711340752158,Entire home/apt,75,2,3,0,1.0,1.0
154,192499,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4936479305933,13.421148882821427,Private room,49,2,2,140,1.0,1.0
155,193625,Mitte,Alexanderplatz,52.52761930911125,13.388895101155162,Private room,38,3,1,43,1.0,1.0
156,194374,Lichtenberg,Karlshorst,52.47739015881721,13.507936941497187,Entire home/apt,65,3,6,328,1.0,2.0
157,194465,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52044226376554,13.444983885777429,Private room,75,3,1,301,1.5,1.0
158,194546,Mitte,Alexanderplatz,52.506044690122756,13.417929178855124,Entire home/apt,75,4,2,62,1.0,1.0
159,194694,Lichtenberg,Alt-Lichtenberg,52.51244743327123,13.492144696962328,Private room,38,3,2,142,1.0,1.0
160,195467,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49420770930038,13.468728177198356,Private room,89,2,1,338,1.0,2.0
161,196149,Mitte,Brunnenstr. Süd,52.53092443537318,13.403572311247895,Entire home/apt,74,2,1,66,1.0,2.0
162,196285,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49689827689657,13.423479701611665,Entire home/apt,50,3,3,0,1.0,0.0
163,197291,Pankow,Blankenburg/Heinersdorf/Märchenland,52.580885696486256,13.443772840039305,Entire home/apt,120,1,1,352,1.0,1.0
164,198584,Charlottenburg-Wilm.,Düsseldorfer Straße,52.498889160288,13.323856192126886,Private room,38,7,2,321,2.0,1.0
165,198896,Tempelhof - Schöneberg,Schöneberg-Süd,52.480879980370595,13.354502530986753,Private room,25,1,1,0,1.5,1.0
166,200125,Steglitz - Zehlendorf,Zehlendorf  Nord,52.43736999319606,13.222656493552439,Entire home/apt,89,4,1,55,1.0,2.0
167,201224,Mitte,Tiergarten Süd,52.50448478862109,13.35903344819543,Entire home/apt,88,3,1,133,1.0,1.0
168,203634,Pankow,Helmholtzplatz,52.54301025680194,13.415250690082251,Entire home/apt,125,4,1,97,2.0,2.0
169,204609,Lichtenberg,Neu Lichtenberg,52.50521255445632,13.478590392843568,Private room,49,2,1,21,1.0,1.0
170,204617,Charlottenburg-Wilm.,Neue Kantstraße,52.5051659150046,13.294660300132302,Entire home/apt,50,1,1,0,1.0,1.0
171,205296,Neukölln,Rudow,52.412349956668145,13.500314073056286,Entire home/apt,100,5,1,282,1.0,2.0
172,206021,Charlottenburg-Wilm.,Mierendorffplatz,52.524641607512464,13.299494362945724,Private room,35,3,1,316,1.0,1.0
173,206454,Mitte,Brunnenstr. Süd,52.53202563222982,13.40097022182888,Entire home/apt,70,3,1,15,1.0,1.0
174,207740,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.500417014749296,13.43577883838185,Entire home/apt,195,3,1,0,2.0,3.0
175,208495,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51274964636898,13.463579217360607,Entire home/apt,150,2,1,0,1.0,1.0
176,209649,Charlottenburg-Wilm.,Kantstraße,52.51079405546008,13.302161703740413,Private room,200,7,1,323,1.0,1.0
177,210734,Mitte,Moabit West,52.5229757133339,13.33415700339061,Entire home/apt,165,3,1,295,1.0,1.0
178,212348,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50811452975861,13.463255814311047,Private room,55,2,1,26,1.0,1.0
179,214491,Mitte,Alexanderplatz,52.5207625967276,13.381918709025594,Private room,35,1,1,326,1.0,1.0
180,214518,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.519934247472754,13.300557547981901,Private room,51,1,2,291,0.0,1.0
181,214784,Neukölln,Reuterstraße,52.49004436101274,13.426967298411418,Private room,35,2,1,64,1.0,1.0
182,214855,Mitte,Tiergarten Süd,52.50183956508407,13.354646685641049,Private room,45,3,1,129,1.0,1.0
183,220445,Charlottenburg-Wilm.,Mierendorffplatz,52.52470399077789,13.299557839037414,Entire home/apt,60,30,1,276,1.0,1.0
184,220808,Steglitz - Zehlendorf,Ostpreußendamm,52.430104358855026,13.32693121803587,Private room,45,2,1,328,0.5,1.0
185,221015,Mitte,Wedding Zentrum,52.54062967749624,13.351473944161675,Entire home/apt,75,1,2,107,1.0,2.0
186,222784,Mitte,Moabit West,52.529803443196,13.340366691280757,Entire home/apt,69,60,1,339,1.0,1.0
187,223622,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.515029896459296,13.443848522015696,Entire home/apt,45,2,1,0,1.0,1.0
188,226925,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37878080449927,13.652787226696123,Entire home/apt,50,2,4,113,1.0,1.0
189,227072,Mitte,Brunnenstr. Süd,52.536010839292146,13.405435238730053,Entire home/apt,110,5,1,3,2.0,3.0
190,228964,Mitte,Alexanderplatz,52.52437689318986,13.407359613120263,Private room,95,1,2,355,1.0,1.0
191,229075,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49435563389957,13.429129386130755,Entire home/apt,75,14,1,136,1.0,2.0
192,229099,Treptow - Köpenick,Altglienicke,52.40354899284035,13.533731117373119,Private room,30,1,1,311,1.0,1.0
193,229348,Mitte,Moabit Ost,52.519920574255885,13.341492658563284,Entire home/apt,65,5,2,311,1.0,1.0
194,229363,Mitte,Moabit Ost,52.52207220205808,13.343526682685521,Entire home/apt,65,4,2,276,1.0,1.0
195,229776,Mitte,Alexanderplatz,52.52833799965169,13.406337450495052,Private room,46,3,1,236,1.0,1.0
196,230611,Tempelhof - Schöneberg,Lichtenrade,52.392687726133005,13.391632552317796,Entire home/apt,65,60,1,104,2.5,4.0
197,230824,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50684081443354,13.470117582270042,Private room,28,1,3,93,1.0,1.0
198,231220,Charlottenburg-Wilm.,Westend,52.511900277472975,13.284742775886706,Entire home/apt,30,60,1,221,1.0,1.0
199,231598,Tempelhof - Schöneberg,Schöneberg-Nord,52.491763485978296,13.35143630246157,Entire home/apt,49,60,1,220,1.0,1.0
200,231853,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50181659449092,13.429231761295595,Entire home/apt,55,60,1,107,1.0,1.0
201,233083,Charlottenburg-Wilm.,Neue Kantstraße,52.503972192420385,13.295973011618045,Entire home/apt,98,60,1,211,1.0,1.0
202,233453,Neukölln,Reuterstraße,52.48417093894849,13.437282187018786,Private room,32,2,1,251,1.0,1.0
203,233770,Marzahn - Hellersdorf,Mahlsdorf,52.47587685980947,13.607608178539033,Entire home/apt,55,2,1,345,1.0,1.0
204,235766,Mitte,Brunnenstr. Süd,52.533881735294536,13.401050819817426,Entire home/apt,39,120,1,359,1.0,1.0
205,236509,Mitte,Alexanderplatz,52.515788311803036,13.41854931265548,Entire home/apt,82,90,2,244,1.0,2.0
206,236552,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497308494373996,13.429808382656526,Private room,46,1,1,79,1.0,1.0
207,237038,Mitte,Regierungsviertel,52.51104568434585,13.381400737088445,Private room,60,2,3,103,2.0,1.0
208,237359,Reinickendorf,West 5,52.587968845069845,13.278397055604987,Entire home/apt,60,5,1,212,1.0,1.0
209,237670,Neukölln,Buckow Nord,52.44141610069693,13.46075330523135,Entire home/apt,43,2,2,277,1.0,0.0
210,238275,Mitte,Alexanderplatz,52.524657250004815,13.403457842597033,Entire home/apt,85,8,1,307,1.0,2.0
211,238396,Pankow,Prenzlauer Berg Südwest,52.532141198564304,13.415193972599369,Entire home/apt,60,3,2,91,1.0,1.0
212,238569,Pankow,Prenzlauer Berg Nordwest,52.55049051460124,13.404158902385293,Private room,58,4,1,271,1.0,1.0
213,239139,Mitte,Brunnenstr. Süd,52.536246885852954,13.397949514111971,Private room,55,90,2,191,1.0,1.0
214,239314,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.505833639649325,13.470255918977944,Private room,30,1,3,27,1.0,1.0
